product,review_title,review_rating,review_text
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Not waterproof like it says,1,This jacket says water proof and my husband wore it yesterday for work and it rained . He works outside and the jacket was wet through to the inside and still wet when he got home 8 hours later. Disappointed bec we missed the return window but it doesn’t rain often in southern California . Stuck now... maybe I can spray it with waterproofing and give it another try?
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Hose Me Down!,5,"I’ve purchased 2 jackets that claim they’re waterproof and they are not. Where as the OTU light men’s jacket has been. I purchased it mainly to wear on my scooter and chose the red color so I’d easily be seen. It fits very well (I ordered the men’s medium) and it has some great pockets to store my phone, glasses and mask. It also folds up compactly to store under my scooter seat compartment. But most of all it’s waterproof without being a heavy stiff “rubber ducky style” jacket. The first thing I did when I tried it on was turn the garden hose on myself and it kept me dry!I would be a repeat buyer for this products."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Nicer than expected,5,"I fly fish and regularly go out on cloudy, rainy days. Recently we moved to a temporary residence and had to put much of our belongings in storage until our new house is built. Stupidly, I forgot to set aside one of my 3 other rain jackets and found myself searching Amazon for a low cost alternative to tide me over (really, who needs 4 rain jackets?) . I didn't know the brand OTU but the reviews on this jacket were good, I fell in love with the grey camo color and so took a flyer on this one. I have to say I was impressed with the construction and quality, especially for the price. I would classify this as a medium weight rain jacket, it will protect from wind and rain and form an insulating layer. I have two that are much lighter and pack down much smaller, I have another guide jacket that is somewhat heavier. This slots right between them in terms of weight and bulk. The materials are high quality as is the stitching. The hood and collar (neck gaiter) are well designed and there is enough ease in it to fit over my waders. I am very pleased with this purchase."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Versatile and stylish,5,"My son loves this jacket. He is 13 years old, tall and slim. The medium fits him great with a little room to grow. He wore it in the snow with a warm hoody under, he wore it in early spring with a long sleeve tee, and now as the weather is warming up a bit he wears it with just a tee.It looks great on him as well. The gray, black white camo matches with most if his clothes.Very happy with this purchase"
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,A good light waterproof jacket.,5,"Got soaked going to work the other day. Really fundamentally drenched. I usually walk to work, and this particular day, my weather app said it wouldn't start raining until after I got up the hill to my place of occupation. I don't know why I trusted that thing since it was spitting when I left.Nevertheless, I got drenched, as I said. I don't carry an umbrella, as this wouldn't have helped me, anyway. It was also blowing up a mess and my umbrella would have been yanked inside out. Fat lot of good that would do. So when I got to work and dried off a bit, I decided to get myself a rain jacket. Now, this all happened in July, so I didn't want something heavy or that was gonna make me sweat. (I had a set of what they used to call ""thunderwear"" for on a motorcycle, so you could stay dry on a long trip, and I used those for a long time, but they were nightmarishly hot to wear in humid weather.I got this jacket and I ordered my typical size (XL). I'm 6'3"" and about 200lbs, with longer arms and I usually wear a large in a jacket, if I can try it on in the store. However, with online shopping I always err on the side of a size bigger, because you can never tell and you can always wear a sweater or other jacket under it as the weather cools off.This was a big jacket. I might have been okay with a large, but I'm happy for the XL. The sleeves are long, the jacket covers my butt and the detachable hood is very voluminous. Essentially, if you're looking for something that you can wear in the heat or the cool, this will do you good service, so long as you're willing to wear your winter sweater under it once it gets cold.The other good aspect of this larger size is that I can wear it over my backpack and keep it dry as well without sacrificing coverage elsewhere. I can still sip it up, etc.Of course, just like when you wash the car and it rains immediately, when you buy a raincoat, it will never rain again...Luckily there's a tropical depression overhead and I took it out in the rain the other day, just to see how it does and I'm telling you now, this isn't a water resistant piece of material. It is absolutely *waterproof*, FULL STOP. The material just beads the water and it goes running off and it and you stay dry as if it wasn't sloshing down. Seriously, this is great stuff. You will not get wet.However, the only slight issue is the ""hook and loop"" (we call this velcro—with a small v—) closures at the wrists DO get a little damp, so just be aware of that, but that's not going to keep you from enjoying a rainy walk to work or a day on the trail so long as your boots keep your feet dry and you don't go out in the lightning."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Raindrops Are Falling On My Head,5,"I bought this just in time for spring weather in Wisconsin. I’m a 6’1” female and love the length of this coat as well as the sleeve length. I like how lightweight it is...the color I chose, the fact it’s keeping me dry, the zippered pockets, the velcro placement. Heck...I like the whole jacket including the price tag and am considering buying another one in red."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Great jacket,5,Great water resistant and lightweight windbreaker as well. Like 2 for one. If your looking then buy this. Its the one
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Nice jacket,5,"Very lightweight and packable. This jacket came in handy hiking the very wet Mist Trail at Yosemite National Park. Cut is very loose fitting, I ordered a size smaller than my normal jacket size and it fits perfectly. Blue color is great, it’s a dark navy and not too bright. This jacket is Good for Spring/fall hiking"
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,For light rain only.  Extremely disappointed in this 'rain' jacket.,1,The fit of the jacket is as advertised which I was initially worried about.  I wore this jacket in light rain a couple times and it performed fine although I wasn't outside for that long.  The disappointing part is in moderate to heavy rain your upper back and shoulders will be soaked if outside more than 2 minutes.  For what's advertised as a rain jacket that just seems misleading.  I wish I could return it but it's outside the window of return.  Oh well.
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,GREAT PRODUCT -- BUT,5,"Bought 2 of these, one for the wife (S) and one for me (L).  These are great.  They are lightweight, flexible, and soft.  And yes, they are water repellant-- as we have used them.  They look and feel like a light jacket.  The only con is:  The sleeves are gimoungousely long!  The (S) the sleeves are about 2 inches longer than normal  and on mine (L) they are are about 5 inches too long.  Why they make them like that??  Took them to a tailor and he shortened the sleeves to the proper length.  Now, we both love these coats.  Can be used even if its not raining as a simple jacket."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Loved it,5,"Purchased for a hiking trip of the 5 nat'l parks in Utah.  Needed something light for my pack in case of rain.I ended up wearing this jacket even when it wasn't raining.  I treated it more as an outer shell while layered underneath.  Temps were in the high 20's and low 30's most of the time.  It cut down a lot of the wind, but not all of it, which I didn't expect it to.  The jacket is vented and let in some breezes but that is to be expected.  The jacket helped release the heat from my body when it wasn't raining.The hood fit is probably my biggest disappointment.  It seemed a bit too big.  But it came in handy when I did encounter rain.  It's removable, but I just allowed it to flop around behind me when not in use.I've had Columbia shells before and I think they're too sloppy.  This had a nice fit.  The 'slimming' black color had me looking good in all the pictures my wife took.Considering buying another one in another color."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Jacket is Waterproof,5,"I just spent a day outside at the range with an all day drizzle and cold front that came in. After four hours I was dry from the rain and warm from the front. Jacket is light weight and works a described. The jacket runs a little smaller than the chart so I would order the next size up,, especially if you have bulky clothing underneath. Not a big deal here in Florida as I only had a 'T' shirt on underneath the jacket."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Dry As A Bone,5,"After years of braving the elements in cotton hoodies, I decided to smarten up and buy an actual rain coat. This jacket is lightweight but has a nice liner inside to help keep you warm on cool, rainy days. This won't keep you totally warm but fits into the ""windbreaker"" category of jackets. The hood is nice and big to keep us large-headed individuals dry and there are adjustable wrists at the end of the sleeves to help you stay dry. One feature that I was surprised about was that as you zip up the jacket, the Velcro patches catch to make sure you're all bundled up and ready for a slight drizzle or a potential downpour."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,He Loves It!,5,"My husband loves this jacket. We got one size larger because he likes a little extra room, and the fit was perfect. The jacket is definitely made well and water resistant. We would totally recommend."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Its a keeper,5,"Fit perfect 6'6"" 170lbs nice long arms, most are to short. Plenty of body length, doesnt hike up in the back, extra room inside for layering, excellant material and construction. Funky plastic strap for the wrist velcro tho. Will have to wait for it to rain in arizona to test water proof tho, that could be awhile lol. Over all very nice like the mesh lining keeps you seperated from the shell. Xxl"
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,"Nice, too large, not what I was looking for",4,"This is a nice rain jacket, solid build and looks protective. I didn't get to wear it in rain, because it was *way* too large. I am 5' 11"" at 195 pounds and ordered an XL, which is often the size I need, but this seems to be on the large side. An L would have sufficed.More importantly, this is NOT a lightweight jacket by any means, it is quite thick and also warm. Good for transition weather, but not for summer rains. Much too warm and too heavy (more than a pound), also doesn't pack small enough to be stowed away."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Good materials but problematic hood attachment design.,3,Good external material and comfortable interior material. The only potential problem is the way the hood zipper is attached directly to the jacket instead an external part of the jacket. This could allow water inside the jacket. A previous buyer has highlighted this and because of that I did a thorough inspection of this issue.
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,I have zero complaints!,5,"I'm 6'1, athletic build, 215 pounds and ordered a L, which fit perfectly. The hem on the jacket hits just right, and not too long like a lot of jackets. I couldn't believe I could actually see rain beading up on my jacket. Pretty cool. It is super lightweight and truly is a shell jacket, which is perfect, as it's function for me is a spring/summer raincoat, as I tend to wear a t-shirt underneath. I have a huge noggin and the hat portion of it actually covers my head. I try not to write reviews until I've lived with a product for a while and I gotta say, this one is a winner."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Nice light weight jacket,5,"Jacket fit well, plenty of room without oversized in the arms or length of jacket. Nice features such as Velcro closures along with zippers. Nice sized pockets, hood. Seems to be wind proof, haven’t done a beach walk yet, hubby said he stayed plenty warm at 60 degrees. Nice jacket no negatives at this time."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Beautiful Jacket But A Poor Hood,4,"The jacket, which I purchased in red, is really beautiful. Seems to be of good quality, substantial fabric. Can't speak to waterproofness yet, but will update if keeping the jacket. The hood is a poor design. Flops over your eyes, and the Velcro closures are a pain, never line up right. Snaps would have been better.Update 4/1/21Stood out in a downpour for about 10 minutes, stayed dry. Would it keep you dry out in a downpour for hours ? Probably not, but then again it's not a $100+ GoreTex jacket.Some have commented that the sleeves are too long. I find that a positive, as you can tuck your hands into the sleeves if it's chilly. The sleeves are easily adjustable with the Velcro straps.The fabric also has a nice texture to it.Bottom line, love the jacket. Quality product for the price."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Fits almost perfect,4,"I've not had a chance to wear it in the rain.  Hopefully soon?  So can't attest to its waterproofing. I've tried it on and fits almost perfect.  Sleaves are just a bit long and it is slightly baggy.  I'm fine with this as I plan to wear it over other clothes/jackets. As you see below, I'm 6'5"" and just over 250.  BIG GUY.  Hope this helps others to find the right fit."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Well worth the money,5,My wife and I are newly married. We like to dress up a lot with the same color clothes. We needed something that would be really good for the rain and also to keep the wind off the both of us. I feel since we have purchased these two jackets they’ve been extremely good to us. Also what I like about it is the color sticks out so if we’re out at night people can’t miss us.We are both in love with this type of jacket that we have now. I would also recommend it to anyone who is thinking about purchasing it.It’s well worth the money and also the investment. Well worth the money. I will add oh one more thing the jackets are very comfortable and they also fit perfect for us.
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Great deal,5,I have not put it to the full test yet but it seems like really good quality for the price. Take note that this is not an insulated jacket but it will block the wind and it fits over other clothing easily.
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Fits great,5,"I wanted something that I knew my husband would not take lol, and he has yet to take this jacket. I like my jackets big. I got the largest size since I’m a woman and bigger up top."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,"Good looking, affordable and waterproof",5,"So far so good. For the price, I’m extremely happy, and think it compares to more expensive, less waterproof jackets I’ve had. The zippers work well and the inside pocket keeps everything in it perfectly dry."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,This Is Worth The Money,5,"I'm 5'-5"" and 145 lbs. This jacket is almost a perfect fit for me. It's fitted and not baggy like my old rain jacket. The sleeves are a bit long but the Velcro wrist straps take care of that. It's lightweight and definitely rainproof. The detachable drawstring hood and Velcro neck collar really protect my head, face, and neck from exposure. The inner net-like lining separates my body from the jacket shell and keeps me cool and not sweaty. Would buy it again."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Great,5,"Great jacket for the money. Time will tell if the zippers hold up. At 6’2” and 175lbs, I am happy with the fit of the medium size, although the sleeves are just a tad long for my taste. The hood zips off and goes back on with ease. The dark grey color will match most if not all of my attire, and the material doesn’t feel or look like you’re wearing a trash bag. As for water resistance, I have not been in a downpour yet, but my water bottle did spill a bit, and the water beaded and ran right off."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,"Nice looking jacket, just not for freezing temps",4,Very nice jacket for the price. But has no insulation so if your looking for something to keep you warm in freezing temps you may look elsewhere or this jacket would be great as an outside layer. When it's cold I'll put a sweater or jacket underneath this one and then the cold is tolerable. But nice fitment no complaints there
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Love it,5,It’s comfortable and made from great material it’s not too warm which is good though because rain coats usually get you all sweaty. I use it for work but it would be great to wear for everyday life
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Dumb Hood,3,I would have given this jacket a much higher rating if not for the hood. The hood is huge and even with the adjustment strings it slides down over my eyes.  Also the rain flap on its attachment zipper stupidly faces UP so water can run down into it and onto your neck. Really thoughtless design.
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Nice jacket; pleasantly surprised.,5,"I was hesitant to buy this as a few of the reviews said this was Chinese sized. I wear a. US 2xl so that's what I ordered. I was pleasantly surprised it fit so well with plenty of room to move freely in it.It's not designed for warmth so it would be great in the summer on a windy rainy day but you won't burn up in it either.All in all, it's a really nice jacket and I highly recommend.Will update after using it for a bit."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Great Shell,5,"I needed a new shell for hiking the AT and saw this.  Wow what great quality.  Fits perfect as I wanted some room to wear layers underneath.  I am 5' 10"" and weigh 225lbs.  The XL was just the right size for this.  One inside the coat pocket about 5 in by 6 inches and seals.  lining is great and the hood is removable.  The only thing missing is a carrying pouch or bag to stow it in, otherwise it's a great coat."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,"The coat is beautifully made, but the arm length is waaay tooo long",4,"Like I said, it's well made and it looks good when you put in on, except for the arm length.I am trying to figure out how to shorten it which may be a bit of a challenge.I purchased it because I have to power spray my house especially under the eves, and anyone who has even done that knows that the water gets all over the place.I'll keep it anyway and hopefully I can make the alterations."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Light weight,5,"truly is light weight. shed the rain fine ,but it wasnt a real drencher of a downpour. seems like it will work just fine. breathes nicely. Bought an extra large and was surprised by American sizing not your typical undersized Asian sizes .This will work out well for me as I intend to wear it over a hoodie and/or a jacket  when I fly-fish. Cammo pattern was black and white ,but should be fine."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Fantastic for here to there no matter the occasion,5,Very impressive. Read all prior comments about the fitting. I measured myself to chart. Fits as chart measurement scales.  The Blue is more of a Royal Blue (dark blue with a shade of purple). Ptefect early spring and fall coat. Very classy with shirt and tie. Love it!
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Not meant for backpacking. Not for warmer weather,3,This is a great jacket for normal purposes. This is not a good rain jacket for hiking or backpacking.  It’s too warm in warmer weather and not that light so you can just use it as the outer most layer of your clothes. Great for using around town not good for backpacking.
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Surprised by the quality 😁,5,"I was truly surprised by the quality and craftsmanship of this product. Before purchasing it I was looking at other raincoats from North face, colombia, LL Bean.For one third less the price of the other raincoats this is a superb buy. I recommend it 👍"
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Quality,5,"This is a very nice quality jacket for the price. It fit very well. No too big and not too tight. I am 5'10"" 205 lbs. athletic build. It has not been out in the rain yet. I wore it in 30 degree windy conditions and it was warm with a fleece vest under it."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Exactly what I was looking for,5,Honestly I just bought it so I had some type of rain jacket but this specific one for photography for the person in the photo. It is very vibrant. And it really holds up as far as keeping you dry! Very comfy and feels like it will last if you take care of it. Not suited for winter. It keeps the rain out not the cold. (Light jacket)
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,After 10 mins in rain,2,"Bought this to go stomping in puddles with my tiny human. Picture is my shirt underneath after about 5-10 minutes outside, my hair was soaked. It wasn't that hard of rain and I have only used it one other time. I guess it's better than nothing?"
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Love this raincoat. Perfect with a hoodie,5,Got a skinny guy here who actually found a raincoat worthy of his stuff-always-too-damn-short-for-my-long-arms problem. He is 5’11” weighs 145 and has a reach that’s unmatched for me but hey at least I can fit into coats at the store. He puts his arms out and the cuffs always fall to his forearms. Not this coat. Skinny enough he doesn’t puff out and tall enough he gets wrist coverage! Winning!
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,"Good fit, extra features, good quality construction",5,"Well designed, with velcro closures along the main zipper line, to keep the flap closed against hard rain. Fit is as expected, with room for warm layers under the jacket. Hood zips off.Quality construction.I'm headed to a rainy part of the Andes next week. We'll see how it performs. I anticipate no problems.I recommend this product."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Large is actually large,5,better than expected.  it has a nice hood for keeping out rain.  quality is unusually good for this price.  walked in rain twice and the jacket kept me dry.  I usually find Large to be snug.  5'9 170lbs and this jacket fits with a heavy sweater.  no problem.  highly recommend this jacket for light rain jacket.  not insulated so this is a top cover in 30 to 50 degrees.
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Not waterproof at all. DO NOT BUY. JUNK..,1,Looks good and that's where it stops. 2nd time wearing the jacket and I got soaked and both times the rain wasn't heavy. It was a light lingering rain.. Look elsewhere for a true waterproof jacket. Do not buy.
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Very light weight waterproof rain jacket,5,"I ordered one in extra large. That’s the size I use for all my sweatshirts and jackets. It was a little loose, but good if it was cold and needed to wear a thicker sweater under. The large is perfect, wearing a tee shirt, but not much else.  Very waterproof, water just beads off. The extra large would have been fine in all applications, but I like this jacket so much I didn’t mind buying two of them."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Sizing!,5,Finally found a size that fits! I'm 6'3 with a 46 chest and first purchased the xl which was waaay to bug so I went with med next and it was on the snug size.. last but not least I got the LG and it's a perfect fit. Has enough room for a hoodie when it gets cold. I love the style and quality of the material. Ill post another review when I get in some rain.
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Can't beat the value,5,"This rain jacket is just as good as those brand name jackets from those ""outdoor/named after a nature location"" stores, but at a fraction of the price. Definitely worth the price. Waterproof as advertised."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Great Rain Jacket,4,This lightweight rain jacket does the job. It does a great job shedding the rain. And it is roomy enough to wear a sweatshirt underneath for warmth. The pockets are large and well placed so you are not reaching backwards to get your hands in and the all-important inside pocket lends some security. All-in-all a great addition to your foul weather wardrobe.
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,I love this Jacket!,5,My first impression is that this jacket is great!  It fits me well and seems really well made.  Has great features like Velcro wrists.  I like the white camopattern.  Will update if any issues but this seems like a great deal!  Something like this name brand in a store would cost way more.
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Perfect for Alaska,5,Perfect for Alaska summers. I live in Alaska and is great for hiking or everyday wear. Fits very good. For the price and fit couldn’t recommended enough.
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Worst,5,"This jacket is great for the price point. It doesn't stand up to a driving downpour, but it will keep you dry in a pop up shower. It is unbeatable in the wind. It blocks the wind and the hood has an elastic band with adjustable drawstring loops so it doesn't just fall off when you put it up. I bought it specifically for working (I am a landscaper) and it has been well worth it. The only real downside is that it doesn't breathe, so while you aren't getting rained on, you are sweating if it is a warm day."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Rain jacket,5,I moved to Texas i knew i was going to need a rain jacket i purchased it. Once i got it started to rain like crazy it was of so much help this thin light jacket i use this jacket all the time.What i like about it it comes Whit a head cover over all I'm happy Whit the jacket.
